shell,bin,ring,frequency,Data,index
0,10.0,2.0,0.004959772528999321,0.004959772528999321,17
0,11.0,2.0,0.006785356554331319,0.006785356554331319,18
0,18.0,3.0,0.0031584219199327925,0.0031584219199327925,42
0,17.0,3.0,0.0020517625771430416,0.0020517625771430416,41
0,16.0,3.0,0.0013328378946007948,0.0013328378946007948,40
0,15.0,3.0,0.0011389705644770428,0.0011389705644770428,39
0,9.0,2.0,0.002794920675950758,0.002794920675950758,16
